tarih,musteri_id_mask,alici_musteri_id_mask,doviz_fmt,odeme_turu_fmt,havale_tutari,musteri_tip
04SEP2014:00:00:00,9339300,25926252,TURK_LIRASI,AIDAT,167,TUZEL
05SEP2014:00:00:00,9054653,18293325,TURK_LIRASI,DIGER_ODEMELER,371,TUZEL
05SEP2014:00:00:00,17257260,17257188,TURK_LIRASI,DIGER_ODEMELER,1000,GERCEK
13OCT2014:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,563,TUZEL
06SEP2014:00:00:00,2853662,9990184,TURK_LIRASI,DIGER_ODEMELER,80000,GERCEK
04AUG2014:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,500,GERCEK
14OCT2014:00:00:00,17223830,2138179,TURK_LIRASI,DIGER_ODEMELER,1000,TUZEL
14OCT2014:00:00:00,17223830,2138179,TURK_LIRASI,DIGER_ODEMELER,12000,TUZEL
02JUL2014:00:00:00,10961244,4811637,TURK_LIRASI,DIGER_ODEMELER,30.5,GERCEK
03JUL2014:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,600,GERCEK
05AUG2014:00:00:00,16981050,3788504,TURK_LIRASI,DIGER_ODEMELER,1078,GERCEK
09SEP2014:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,250,GERCEK
03JUL2014:00:00:00,9054653,18293325,TURK_LIRASI,AIDAT,371,TUZEL
15OCT2014:00:00:00,17223830,17627201,TURK_LIRASI,DIGER_ODEMELER,80,GERCEK
10SEP2014:00:00:00,4365610,10806933,TURK_LIRASI,DIGER_ODEMELER,1650,GERCEK
07AUG2014:00:00:00,9875403,1722098,TURK_LIRASI,DIGER_ODEMELER,1000,GERCEK
07AUG2014:00:00:00,10961244,10734637,TURK_LIRASI,DIGER_ODEMELER,30,GERCEK
04JUL2014:00:00:00,16981050,3788504,TURK_LIRASI,DIGER_ODEMELER,1077.84,GERCEK
11SEP2014:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,456.29,TUZEL
11SEP2014:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,562.54,TUZEL
08AUG2014:00:00:00,9765025,19465201,TURK_LIRASI,DIGER_ODEMELER,300,GERCEK
10AUG2014:00:00:00,9054653,18293325,TURK_LIRASI,AIDAT,371,TUZEL
11AUG2014:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,250,GERCEK
18OCT2014:00:00:00,9339300,16359145,TURK_LIRASI,DIGER_ODEMELER,200,GERCEK
07JUL2014:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,457,TUZEL
11AUG2014:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,562.54,TUZEL
20OCT2014:00:00:00,4365610,3441371,TURK_LIRASI,DIGER_ODEMELER,3600,GERCEK
08JUL2014:00:00:00,19858904,8864832,TURK_LIRASI,DIGER_ODEMELER,750,TUZEL
13AUG2014:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,456.29,TUZEL
20OCT2014:00:00:00,17967143,16981034,TURK_LIRASI,DIGER_ODEMELER,10000,GERCEK
09JUL2014:00:00:00,16981050,8730029,TURK_LIRASI,DIGER_ODEMELER,100,GERCEK
09JUL2014:00:00:00,17967143,16981034,TURK_LIRASI,DIGER_ODEMELER,150,GERCEK
21OCT2014:00:00:00,9054653,8263569,TURK_LIRASI,DIGER_ODEMELER,2000,GERCEK
21OCT2014:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,580,TUZEL
10JUL2014:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,500,GERCEK
22OCT2014:00:00:00,17638957,10784674,TURK_LIRASI,DIGER_ODEMELER,699,GERCEK
