musteri_id_mask,hesap_id_mask,tarih,ekstre_bakiyesi_tl,ekstre_bakiyesi_usd,ekstre_bakiyesi_eur,son_ekstre_kesim_tarihi,son_odeme_tar
17303354,132691741,31JUL2014:00:00:00,437.63,0,0,08JUL2014:00:00:00,18JUL2014:00:00:00
17907872,79902508,31JUL2014:00:00:00,1884.71,0,0,08JUL2014:00:00:00,18JUL2014:00:00:00
14636957,109607139,31MAY2015:00:00:00,2517.85,0,0,07MAY2015:00:00:00,17MAY2015:00:00:00
20186282,105036555,31OCT2014:00:00:00,4.7,0,0,07OCT2014:00:00:00,17OCT2014:00:00:00
18909213,186821431,31MAY2015:00:00:00,481.55,0,0,26MAY2015:00:00:00,05JUN2015:00:00:00
18015914,186702508,31MAY2015:00:00:00,325.34,0,0,19MAY2015:00:00:00,29MAY2015:00:00:00
20034136,128044306,31JUL2014:00:00:00,2410.87,0,0,24JUL2014:00:00:00,03AUG2014:00:00:00
18780990,85527402,31MAY2015:00:00:00,424.12,0,0,09MAY2015:00:00:00,19MAY2015:00:00:00
20050973,108574872,31OCT2014:00:00:00,0.57,0,0,02OCT2014:00:00:00,12OCT2014:00:00:00
21242221,155779423,30NOV2014:00:00:00,0,0,0,08NOV2014:00:00:00,18NOV2014:00:00:00
17365229,95479188,31OCT2014:00:00:00,7010.18,0,0,21OCT2014:00:00:00,31OCT2014:00:00:00
18750698,85814405,31MAR2015:00:00:00,98.16,0,0,11MAR2015:00:00:00,21MAR2015:00:00:00
18780990,85527402,31MAR2015:00:00:00,576.39,0,0,10MAR2015:00:00:00,20MAR2015:00:00:00
21021028,136963284,30NOV2014:00:00:00,605.47,0,0,23NOV2014:00:00:00,03DEC2014:00:00:00
10961244,28758810,31MAR2015:00:00:00,10148.8,0,0,28MAR2015:00:00:00,07APR2015:00:00:00
21021028,136963284,31JUL2014:00:00:00,595.52,0,0,24JUL2014:00:00:00,03AUG2014:00:00:00
17320700,74084589,30NOV2014:00:00:00,3249.87,0,0,30NOV2014:00:00:00,10DEC2014:00:00:00
15664189,64291264,28FEB2015:00:00:00,5295.67,0,0,17FEB2015:00:00:00,27FEB2015:00:00:00
9054653,168763487,30NOV2014:00:00:00,5099.51,0,0,30NOV2014:00:00:00,10DEC2014:00:00:00
9339300,99524066,30NOV2014:00:00:00,3617.74,0,0,05NOV2014:00:00:00,15NOV2014:00:00:00
19379348,174591669,30NOV2014:00:00:00,539.39,0,0,16NOV2014:00:00:00,26NOV2014:00:00:00
18780990,85527402,31OCT2014:00:00:00,169.14,0,0,10OCT2014:00:00:00,20OCT2014:00:00:00
20007351,98180463,31MAR2015:00:00:00,1803.09,0,0,24MAR2015:00:00:00,03APR2015:00:00:00
14573146,57547578,31JUL2014:00:00:00,2992.75,0,0,08JUL2014:00:00:00,18JUL2014:00:00:00
9765025,118030877,31OCT2014:00:00:00,3685.44,0,0,07OCT2014:00:00:00,17OCT2014:00:00:00
14801202,58822955,28FEB2015:00:00:00,1073.65,0,0,13FEB2015:00:00:00,23FEB2015:00:00:00
15370451,68340528,28FEB2015:00:00:00,81.09,0,0,10FEB2015:00:00:00,20FEB2015:00:00:00
20846536,106649857,31MAR2015:00:00:00,333.35,0,0,14MAR2015:00:00:00,24MAR2015:00:00:00
18681877,148464689,28FEB2015:00:00:00,7230.37,0,0,28FEB2015:00:00:00,10MAR2015:00:00:00
9054653,168763487,31OCT2014:00:00:00,6304.83,0,0,30OCT2014:00:00:00,09NOV2014:00:00:00
16948506,167791468,31MAY2015:00:00:00,0,0,0,02APR2015:00:00:00,12APR2015:00:00:00
15543294,188855590,31MAR2015:00:00:00,0,0,0,17MAR2015:00:00:00,27MAR2015:00:00:00
9021512,29807547,31JUL2014:00:00:00,3883.68,0,0,05JUL2014:00:00:00,15JUL2014:00:00:00
17682882,78586564,28FEB2015:00:00:00,629.23,0,0,17FEB2015:00:00:00,27FEB2015:00:00:00
2853662,165605479,31JUL2014:00:00:00,2744.99,0,0,22JUL2014:00:00:00,01AUG2014:00:00:00
18654919,169132500,30NOV2014:00:00:00,117.12,0,0,02NOV2014:00:00:00,12NOV2014:00:00:00
15370451,68340528,31OCT2014:00:00:00,97.62,0,0,10OCT2014:00:00:00,20OCT2014:00:00:00
3542321,137144635,31MAY2015:00:00:00,7090.25,0,0,23MAY2015:00:00:00,02JUN2015:00:00:00
17257260,89487123,31OCT2014:00:00:00,1994.54,0,0,04OCT2014:00:00:00,14OCT2014:00:00:00
18750698,85814405,31OCT2014:00:00:00,204.22,0,0,11OCT2014:00:00:00,21OCT2014:00:00:00
19693997,188038243,31MAY2015:00:00:00,2596.46,0,0,26MAY2015:00:00:00,05JUN2015:00:00:00
21021028,108917845,31JUL2014:00:00:00,0,0,0,21MAY2014:00:00:00,31MAY2014:00:00:00
20955787,188456403,31MAR2015:00:00:00,184.86,0,0,01APR2015:00:00:00,11APR2015:00:00:00
20846536,106649857,31MAY2015:00:00:00,474.15,0,0,14MAY2015:00:00:00,24MAY2015:00:00:00
20018440,109843747,30NOV2014:00:00:00,4964.55,0,0,16NOV2014:00:00:00,26NOV2014:00:00:00
19858904,140913499,30NOV2014:00:00:00,1039.35,0,0,16NOV2014:00:00:00,26NOV2014:00:00:00
17257260,89487123,28FEB2015:00:00:00,0,0,0,04DEC2014:00:00:00,14DEC2014:00:00:00
14546076,123363176,28FEB2015:00:00:00,579.39,0,0,06FEB2015:00:00:00,16FEB2015:00:00:00
15744137,187138387,31OCT2014:00:00:00,141.35,0,0,11OCT2014:00:00:00,21OCT2014:00:00:00
4365610,27869698,31MAR2015:00:00:00,7649.06,0,0,24MAR2015:00:00:00,03APR2015:00:00:00
19693997,152747979,31MAY2015:00:00:00,82.33,0,0,23MAY2015:00:00:00,02JUN2015:00:00:00
4365610,37014958,31OCT2014:00:00:00,0,0,0,01OCT2014:00:00:00,11OCT2014:00:00:00
12660206,63562547,31MAR2015:00:00:00,16803.36,0,0,01APR2015:00:00:00,11APR2015:00:00:00
8610999,169703427,31MAR2015:00:00:00,7151.53,0,0,14MAR2015:00:00:00,24MAR2015:00:00:00
13261710,31548257,31MAY2015:00:00:00,3947.4,0,0,16MAY2015:00:00:00,26MAY2015:00:00:00
20726978,155540483,31MAR2015:00:00:00,582.83,0,0,06MAR2015:00:00:00,16MAR2015:00:00:00
14636957,109607139,30NOV2014:00:00:00,1625.35,0,0,07NOV2014:00:00:00,17NOV2014:00:00:00
14801202,58822955,31MAY2015:00:00:00,1763.12,0,0,12MAY2015:00:00:00,22MAY2015:00:00:00
17643688,76768991,28FEB2015:00:00:00,1446.01,0,0,02FEB2015:00:00:00,12FEB2015:00:00:00
15823515,171529634,30NOV2014:00:00:00,122.35,0,0,28NOV2014:00:00:00,08DEC2014:00:00:00
20034136,128044306,31MAY2015:00:00:00,51.72,0,0,23MAY2015:00:00:00,02JUN2015:00:00:00
16464282,164800755,31MAR2015:00:00:00,78.55,0,0,28MAR2015:00:00:00,07APR2015:00:00:00
8610999,29616418,31MAR2015:00:00:00,0,0,0,07MAR2015:00:00:00,17MAR2015:00:00:00
17638957,169296555,28FEB2015:00:00:00,2068.82,0,0,16FEB2015:00:00:00,26FEB2015:00:00:00
17907872,79902508,28FEB2015:00:00:00,933.24,0,0,08FEB2015:00:00:00,18FEB2015:00:00:00
19693997,152747979,31OCT2014:00:00:00,342.31,0,0,24OCT2014:00:00:00,03NOV2014:00:00:00
21213035,123684100,30NOV2014:00:00:00,0,0,0,18OCT2014:00:00:00,28OCT2014:00:00:00
14546076,123363176,31OCT2014:00:00:00,712.32,0,0,07OCT2014:00:00:00,17OCT2014:00:00:00
2782253,29242995,30NOV2014:00:00:00,1775.47,0,0,28NOV2014:00:00:00,08DEC2014:00:00:00
4365610,37014958,31MAR2015:00:00:00,100,0,0,01APR2015:00:00:00,11APR2015:00:00:00
20955787,175202554,30NOV2014:00:00:00,614.07,0,0,07NOV2014:00:00:00,17NOV2014:00:00:00
20018440,109843747,31MAY2015:00:00:00,8205.87,0,0,16MAY2015:00:00:00,26MAY2015:00:00:00
20498552,174795558,31JUL2014:00:00:00,151.31,0,0,29JUL2014:00:00:00,08AUG2014:00:00:00
