musteri_id_mask,hesap_id_mask,islem_tarihi,doviz_fmt,toplam_tutar
15438869,142251658,31DEC2014:00:00:00,TURK_LIRASI,1857.71
9021512,29807547,16JUN2015:00:00:00,TURK_LIRASI,4290
16792108,148247128,31DEC2014:00:00:00,TURK_LIRASI,650
15717336,128192194,17JUN2015:00:00:00,TURK_LIRASI,280
19858904,140913499,17JUN2015:00:00:00,TURK_LIRASI,4386
14573146,57547578,17JUN2015:00:00:00,TURK_LIRASI,1550
9765025,118030877,16JUN2015:00:00:00,TURK_LIRASI,1703.07
15664189,64291264,30DEC2014:00:00:00,TURK_LIRASI,3522
17320700,74084589,31DEC2014:00:00:00,TURK_LIRASI,2767
23187800,132525151,30DEC2014:00:00:00,TURK_LIRASI,1175
20498552,174795558,31DEC2014:00:00:00,TURK_LIRASI,1400
14801202,58822955,30DEC2014:00:00:00,TURK_LIRASI,400
9630284,132385448,16JUN2015:00:00:00,TURK_LIRASI,2000.35
15543294,188855590,17JUN2015:00:00:00,TURK_LIRASI,100
13055162,61910289,16JUN2015:00:00:00,TURK_LIRASI,826.45
20955787,188456403,31DEC2014:00:00:00,TURK_LIRASI,15
17223830,83861370,17JUN2015:00:00:00,TURK_LIRASI,337.48
15744137,187138387,16JUN2015:00:00:00,TURK_LIRASI,1130
20018440,109843747,17JUN2015:00:00:00,TURK_LIRASI,2000
20018440,109843747,19JUN2015:00:00:00,TURK_LIRASI,526
17907872,79902508,19JUN2015:00:00:00,TURK_LIRASI,800
19850172,162007952,19JUN2015:00:00:00,TURK_LIRASI,50
17320700,74084589,02JUN2015:00:00:00,TURK_LIRASI,2763.59
16792108,148247128,02JUN2015:00:00:00,TURK_LIRASI,792
15766015,161602233,25MAY2015:00:00:00,TURK_LIRASI,160
2853662,165605479,01JUN2015:00:00:00,TURK_LIRASI,954.96
13055162,61910289,19JUN2015:00:00:00,TURK_LIRASI,800
15766015,161602233,02JUN2015:00:00:00,TURK_LIRASI,1.8
3542321,137144635,02JUN2015:00:00:00,TURK_LIRASI,7090.25
10961244,31714368,01JUN2015:00:00:00,TURK_LIRASI,49.38
16948506,101383433,02JUN2015:00:00:00,TURK_LIRASI,600
4837694,188204921,02JUN2015:00:00:00,TURK_LIRASI,1172.52
17907872,79902508,25MAY2015:00:00:00,TURK_LIRASI,200
15631424,126953182,19JUN2015:00:00:00,TURK_LIRASI,514.21
15717336,128192194,25MAY2015:00:00:00,TURK_LIRASI,820
8610999,169703427,19JUN2015:00:00:00,TURK_LIRASI,2400
16448858,67518428,02JUN2015:00:00:00,TURK_LIRASI,500
4365610,27869698,01JUN2015:00:00:00,TURK_LIRASI,7723.23
20018440,109843747,26MAY2015:00:00:00,TURK_LIRASI,1461.77
17365229,95479188,26MAY2015:00:00:00,TURK_LIRASI,2920
18015914,186702508,10JUN2015:00:00:00,TURK_LIRASI,100
20747527,191947412,18JUN2015:00:00:00,TURK_LIRASI,231.18
17907872,79902508,10JUN2015:00:00:00,TURK_LIRASI,500
19379348,174591669,09JUN2015:00:00:00,TURK_LIRASI,50
17755740,172016600,18JUN2015:00:00:00,TURK_LIRASI,150
19858904,140913499,26MAY2015:00:00:00,TURK_LIRASI,453.34
8610999,169703427,18JUN2015:00:00:00,TURK_LIRASI,5800
17638957,169296555,26MAY2015:00:00:00,TURK_LIRASI,1863.06
17223830,195303904,11JUN2015:00:00:00,TURK_LIRASI,91.11
15766015,161602233,18JUN2015:00:00:00,TURK_LIRASI,174.74
20186282,105036555,09JUN2015:00:00:00,TURK_LIRASI,440.02
3054783,29216393,11JUN2015:00:00:00,TURK_LIRASI,356.69
14288103,59885102,26MAY2015:00:00:00,TURK_LIRASI,820
15367126,75247901,11JUN2015:00:00:00,TURK_LIRASI,1400
20726978,155540483,09JUN2015:00:00:00,TURK_LIRASI,200
10961244,28758810,08JUN2015:00:00:00,TURK_LIRASI,6742.72
18681877,148464689,12JUN2015:00:00:00,TURK_LIRASI,2550
15823515,142839963,28MAY2015:00:00:00,TURK_LIRASI,560
12660206,63562547,11JUN2015:00:00:00,TURK_LIRASI,10100
15986491,156031320,11JUN2015:00:00:00,TURK_LIRASI,120
19464162,119425880,12JUN2015:00:00:00,TURK_LIRASI,100
20757253,148028581,12JUN2015:00:00:00,TURK_LIRASI,250
19693997,94571553,03JUN2015:00:00:00,TURK_LIRASI,70
2782253,29242995,08JUN2015:00:00:00,TURK_LIRASI,2068.79
21213035,189392913,03JUN2015:00:00:00,TURK_LIRASI,250
20186282,105036555,03JUN2015:00:00:00,TURK_LIRASI,280
16309426,187525716,03JUN2015:00:00:00,TURK_LIRASI,500
23187800,132525151,28MAY2015:00:00:00,TURK_LIRASI,1240
20758172,187616600,12JUN2015:00:00:00,TURK_LIRASI,1000
15367126,75247901,12JUN2015:00:00:00,TURK_LIRASI,210
15522570,140931532,08JUN2015:00:00:00,TURK_LIRASI,650
9054653,76620574,08JUN2015:00:00:00,TURK_LIRASI,121.85
19693997,188038243,03JUN2015:00:00:00,TURK_LIRASI,800
14546076,123363176,08JUN2015:00:00:00,TURK_LIRASI,189
9054653,168763487,08JUN2015:00:00:00,TURK_LIRASI,7555.12
20498552,174795558,15MAY2015:00:00:00,TURK_LIRASI,644
18752801,128090947,08JUN2015:00:00:00,TURK_LIRASI,650
15766015,161599523,08JUN2015:00:00:00,TURK_LIRASI,1.8
14190363,170335720,08JUN2015:00:00:00,TURK_LIRASI,210
20050973,170248551,12JUN2015:00:00:00,TURK_LIRASI,200
17775027,76978610,03JUN2015:00:00:00,TURK_LIRASI,147.16
9765025,30490672,04JUN2015:00:00:00,TURK_LIRASI,200
9021512,29807547,15MAY2015:00:00:00,TURK_LIRASI,4135
14690491,59059787,15MAY2015:00:00:00,TURK_LIRASI,1078.03
18760663,86009403,15MAY2015:00:00:00,TURK_LIRASI,1310
17907872,79902508,04JUN2015:00:00:00,TURK_LIRASI,900
3908957,66736034,24APR2015:00:00:00,TURK_LIRASI,0.75
19693997,152747979,04JUN2015:00:00:00,TURK_LIRASI,83
18745897,128097155,05JUN2015:00:00:00,TURK_LIRASI,450
16981050,72377774,04JUN2015:00:00:00,TURK_LIRASI,2048.62
9765025,30490672,05JUN2015:00:00:00,TURK_LIRASI,2946.69
14636957,109607139,04JUN2015:00:00:00,TURK_LIRASI,100
8610999,169703427,15MAY2015:00:00:00,TURK_LIRASI,9170
15438869,142251658,04JUN2015:00:00:00,TURK_LIRASI,1808.52
19858904,140913499,24APR2015:00:00:00,TURK_LIRASI,300
20498552,174795558,24APR2015:00:00:00,TURK_LIRASI,3988
21021028,136963284,24APR2015:00:00:00,TURK_LIRASI,100
20050973,170248551,03OCT2014:00:00:00,TURK_LIRASI,240
15766015,161599523,03OCT2014:00:00:00,TURK_LIRASI,250
3054783,124673591,05JUN2015:00:00:00,TURK_LIRASI,1958.32
20022095,98552515,05JUN2015:00:00:00,TURK_LIRASI,1402.41
9765025,118030877,15MAY2015:00:00:00,TURK_LIRASI,1049.16
18620847,124081570,05JUN2015:00:00:00,TURK_LIRASI,420
18745897,128097155,03OCT2014:00:00:00,TURK_LIRASI,170
19379348,174591669,05JUN2015:00:00:00,TURK_LIRASI,450
9630284,132385448,15MAY2015:00:00:00,TURK_LIRASI,2181.47
9765025,30490672,03OCT2014:00:00:00,TURK_LIRASI,220
20169927,169274644,05JUN2015:00:00:00,TURK_LIRASI,220
17907872,79902508,03OCT2014:00:00:00,TURK_LIRASI,1330
16792108,148247128,03OCT2014:00:00:00,TURK_LIRASI,400
13055162,61910289,27MAY2015:00:00:00,TURK_LIRASI,1450
3908957,66736034,27MAY2015:00:00:00,TURK_LIRASI,455.09
3542321,137144635,03OCT2014:00:00:00,TURK_LIRASI,7172.33
15543294,188855590,27MAY2015:00:00:00,TURK_LIRASI,600
16309426,187525716,27MAY2015:00:00:00,TURK_LIRASI,400
9682827,100711952,03OCT2014:00:00:00,TURK_LIRASI,40
25139695,175705463,29MAY2015:00:00:00,TURK_LIRASI,448
19693997,94571553,03OCT2014:00:00:00,TURK_LIRASI,85
18620847,124081570,03OCT2014:00:00:00,TURK_LIRASI,60
15664189,64291264,29MAY2015:00:00:00,TURK_LIRASI,4035.23
18752801,128090947,03OCT2014:00:00:00,TURK_LIRASI,533.47
19464162,119425880,29MAY2015:00:00:00,TURK_LIRASI,100
20747527,191947412,17APR2015:00:00:00,TURK_LIRASI,131.13
17967143,85964698,27MAY2015:00:00:00,TURK_LIRASI,488.27
20217876,147117750,03OCT2014:00:00:00,TURK_LIRASI,47.67
20498552,174795558,29MAY2015:00:00:00,TURK_LIRASI,1600
19693997,152747979,03OCT2014:00:00:00,TURK_LIRASI,590
9875403,116836890,17APR2015:00:00:00,TURK_LIRASI,1000
20050973,170248551,17APR2015:00:00:00,TURK_LIRASI,140
9682827,100711952,29MAY2015:00:00:00,TURK_LIRASI,480
21021028,136963284,03OCT2014:00:00:00,TURK_LIRASI,350
8610999,169703427,17APR2015:00:00:00,TURK_LIRASI,150
20217876,147117750,29MAY2015:00:00:00,TURK_LIRASI,136.27
16948506,101383433,29MAY2015:00:00:00,TURK_LIRASI,505
18681877,148464689,03OCT2014:00:00:00,TURK_LIRASI,1000
14190363,170335720,08MAY2015:00:00:00,TURK_LIRASI,165
20726978,155540483,08MAY2015:00:00:00,TURK_LIRASI,25
9054653,168763487,08MAY2015:00:00:00,TURK_LIRASI,7011.23
2782253,29242995,08MAY2015:00:00:00,TURK_LIRASI,2003.06
15438869,142251658,08MAY2015:00:00:00,TURK_LIRASI,2103.06
18654919,169132500,02JAN2015:00:00:00,TURK_LIRASI,295.17
9054653,76620574,08MAY2015:00:00:00,TURK_LIRASI,161.41
16792108,148247128,08MAY2015:00:00:00,TURK_LIRASI,20
14573146,57547578,17APR2015:00:00:00,TURK_LIRASI,1170
9339300,99524066,15JUN2015:00:00:00,TURK_LIRASI,1359.86
15370451,68340528,15JUN2015:00:00:00,TURK_LIRASI,438
15986491,156031320,15JUN2015:00:00:00,TURK_LIRASI,280
19693997,152747979,02JAN2015:00:00:00,TURK_LIRASI,220
3542321,137144635,02JAN2015:00:00:00,TURK_LIRASI,4852.6
14801202,58822955,15JUN2015:00:00:00,TURK_LIRASI,2135
18751734,128090941,15JUN2015:00:00:00,TURK_LIRASI,250
9765025,118030877,16MAR2015:00:00:00,TURK_LIRASI,1683.95
14636957,109607139,16MAR2015:00:00:00,TURK_LIRASI,420
10961244,31714368,02JAN2015:00:00:00,TURK_LIRASI,11.05
15766015,161602233,16MAR2015:00:00:00,TURK_LIRASI,200
13055162,61910289,16MAR2015:00:00:00,TURK_LIRASI,850
20007351,98180463,16MAR2015:00:00:00,TURK_LIRASI,730
13055162,61910289,23JAN2015:00:00:00,TURK_LIRASI,1800
20955787,188456403,23JAN2015:00:00:00,TURK_LIRASI,20
17907872,79902508,15JUN2015:00:00:00,TURK_LIRASI,250
15370451,68340528,16MAR2015:00:00:00,TURK_LIRASI,365.07
19693997,94571553,02JAN2015:00:00:00,TURK_LIRASI,90
14690491,59059787,15JUN2015:00:00:00,TURK_LIRASI,1129.93
9682827,100711952,02JAN2015:00:00:00,TURK_LIRASI,250
9630284,132385448,16MAR2015:00:00:00,TURK_LIRASI,2157.53
20498552,174795558,02JAN2015:00:00:00,TURK_LIRASI,396.49
17967143,85964698,16MAR2015:00:00:00,TURK_LIRASI,495
15717336,128192194,16MAR2015:00:00:00,TURK_LIRASI,330
9021512,29807547,16MAR2015:00:00:00,TURK_LIRASI,600
18751734,128090941,16MAR2015:00:00:00,TURK_LIRASI,200
18760663,86009403,15JUN2015:00:00:00,TURK_LIRASI,1260
15823515,171529634,02JAN2015:00:00:00,TURK_LIRASI,270
15823515,142839963,02JAN2015:00:00:00,TURK_LIRASI,30
8610999,169703427,16MAR2015:00:00:00,TURK_LIRASI,2450
14690491,59059787,16MAR2015:00:00:00,TURK_LIRASI,1488.49
19379348,174591669,02JAN2015:00:00:00,TURK_LIRASI,575
16948506,101383433,02JAN2015:00:00:00,TURK_LIRASI,500
4365610,27869698,02JAN2015:00:00:00,TURK_LIRASI,6054.54
3908957,66736034,16MAR2015:00:00:00,TURK_LIRASI,1801.54
18015914,186702508,05DEC2014:00:00:00,TURK_LIRASI,250
