musteri_id_mask,bilet_alma_tarihi,min_bilet_alma_zamani,gunluk_toplam_islem_sayisi,sube_kodu,x,y
13261710,23FEB2015:00:00:00,23FEB2015:14:37:35.000000,25,2,36.991388,35.325423
13055162,14JUL2014:00:00:00,14JUL2014:16:57:48.000000,4,2,36.991388,35.325423
13261710,18NOV2014:00:00:00,18NOV2014:14:14:57.000000,4,2,36.991388,35.325423
13261710,25DEC2014:00:00:00,25DEC2014:11:20:02.000000,12,2,36.991388,35.325423
13261710,19FEB2015:00:00:00,19FEB2015:16:42:40.000000,3,2,36.991388,35.325423
9682827,01SEP2014:00:00:00,01SEP2014:10:33:59.000000,5,2,36.991388,35.325423
9682827,02SEP2014:00:00:00,02SEP2014:12:05:14.000000,9,2,36.991388,35.325423
9765025,15JUL2014:00:00:00,15JUL2014:13:32:53.000000,17,2,36.991388,35.325423
2853662,10JUL2014:00:00:00,10JUL2014:14:56:16.000000,12,2,36.991388,35.325423
21213035,17NOV2014:00:00:00,17NOV2014:09:06:44.000000,5,2,36.991388,35.325423
20955787,01JUL2014:00:00:00,01JUL2014:12:24:38.000000,6,2,36.991388,35.325423
21213035,24NOV2014:00:00:00,24NOV2014:13:48:08.000000,3,2,36.991388,35.325423
19464162,20FEB2015:00:00:00,20FEB2015:14:01:16.000000,5,2,36.991388,35.325423
19464162,10NOV2014:00:00:00,10NOV2014:12:39:28.000000,5,2,36.991388,35.325423
19464162,27JAN2015:00:00:00,27JAN2015:11:55:00.000000,8,2,36.991388,35.325423
18909213,10OCT2014:00:00:00,10OCT2014:14:44:50.000000,4,2,36.991388,35.325423
19464162,09OCT2014:00:00:00,09OCT2014:11:00:12.000000,17,2,36.991388,35.325423
19464162,05MAY2015:00:00:00,05MAY2015:16:41:14.000000,46,2,36.991388,35.325423
18909213,10SEP2014:00:00:00,10SEP2014:12:38:37.000000,5,2,36.991388,35.325423
19464162,02OCT2014:00:00:00,02OCT2014:15:40:38.000000,33,2,36.991388,35.325423
18909213,27AUG2014:00:00:00,27AUG2014:14:06:32.000000,21,2,36.991388,35.325423
15766015,19NOV2014:00:00:00,19NOV2014:11:30:22.000000,3,3,37.026278,35.811535
15766015,21AUG2014:00:00:00,21AUG2014:10:41:59.000000,7,3,37.026278,35.811535
15766015,16JUL2014:00:00:00,16JUL2014:11:46:28.000000,5,3,37.026278,35.811535
15766015,14APR2015:00:00:00,14APR2015:10:54:29.000000,2,3,37.026278,35.811535
15766015,10JUL2014:00:00:00,10JUL2014:14:31:12.000000,3,3,37.026278,35.811535
15766015,23FEB2015:00:00:00,23FEB2015:11:52:59.000000,8,3,37.026278,35.811535
14573146,05FEB2015:00:00:00,05FEB2015:15:28:35.000000,10,4,41.014741,28.973737
19858904,14JAN2015:00:00:00,14JAN2015:15:57:47.000000,2,4,41.014741,28.973737
19858904,17JUN2015:00:00:00,17JUN2015:16:23:56.000000,1,4,41.014741,28.973737
20726978,24JUL2014:00:00:00,24JUL2014:09:25:08.000000,4,4,41.014741,28.973737
19858904,02DEC2014:00:00:00,02DEC2014:10:37:38.000000,6,4,41.014741,28.973737
21021028,29JUN2015:00:00:00,29JUN2015:10:44:50.000000,6,4,41.014741,28.973737
19858904,20NOV2014:00:00:00,20NOV2014:13:53:27.000000,8,4,41.014741,28.973737
19858904,17DEC2014:00:00:00,17DEC2014:12:22:56.000000,3,4,41.014741,28.973737
21021028,30JUN2015:00:00:00,30JUN2015:10:14:58.000000,6,4,41.014741,28.973737
